Organism,Reference,Similarity_Score,Novelty_score,Cluster_Rank,BGC_Type,Compounds,Matched_Organism,Habitat,Source
Penicillium citrinum ,BGC0002286.3,0.59,0.41,1719,NRPS,"ririwpeptide A, ririwpeptide B, ririwpeptide C",Photorhabdus laumondii subsp. laumondii TTO1,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0000342.4,0.59,0.41,1720,NRPS,enniatin,Fusarium equiseti,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001166.5,0.59,0.41,1721,NRPS,HC-toxin,Alternaria jesenskae,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001641.4,0.59,0.41,1722,NRPS,kolossin,Photorhabdus laumondii subsp. laumondii TTO1,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001276.3,0.59,0.41,1723,PKS,6-methylsalicyclic acid,Aspergillus terreus,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001244.3,0.59,0.41,1724,PKS,(-)-Mellein,Parastagonospora nodorum,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002191.2,0.59,0.41,1725,PKS,"prolipyrone B, gibepyrone D",Fusarium graminearum PH-1,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002135.2,0.59,0.41,1726,NRPS,bovienimide A,Xenorhabdus bovienii SS-2004,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001268.4,0.59,0.41,1727,"NRPS, PKS",fusarin C,Fusarium fujikuroi,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001166.5,0.59,0.41,1728,NRPS,HC-toxin,Alternaria jesenskae,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0000357.5,0.59,0.41,1729,NRPS,"cyclo-(D-Phe-L-Phe-D-Val-L-Val), cyclo-(D-Tyr-L-Phe-D-Val-L-Val), cyclo-(D-Tyr-L-Trp-D-Val-L-Val), cyclo-(D-Phe-L-Trp-D-Val-L-Val), cyclo-(D-Phe-L-Phe-D-Val-L-Ile), cyclo-(D-Phe-L-Phe-D-Ile-L-Val), cyclo-(D-Tyr-L-Trp-D-Val-L-Ile), cyclo-(D-Tyr-L-Trp-D-Ile-L-Val), cyclo-(D-Tyr-L-Phe-D-Val-L-Ile), cyclo-(D-Tyr-L-Phe-D-Ile-L-Val)",Penicillium rubens Wisconsin 54-1255,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001258.3,0.59,0.41,1730,PKS,"1,3,6,8-tetrahydroxynaphthalene",Glarea lozoyensis,Mangrove sediment,antiSMASH
Salinispora tropica CNB-481,BGC0002341.2,0.59,0.41,1731,other (other),"3,5-dibromo-p-anisic acid",Planctomycetales bacterium 10988,Marine Sponge,antiSMASH
Salinispora tropica CNB-532,BGC0000234.5,0.59,0.41,1732,PKS,jadomycin,Streptomyces venezuelae ATCC 10712,Marine Sponge,antiSMASH
Salinispora tropica CNB-533,BGC0000261.5,0.59,0.41,1733,PKS,R1128,Streptomyces sp. R1128,Marine Sponge,antiSMASH
Salinispora tropica CNB-548,BGC0002073.3,0.59,0.41,1734,NRPS,dehydroxynocardamine,Corynebacterium propinquum,Marine Sponge,antiSMASH
Salinispora tropica CNB-556,BGC0001641.4,0.59,0.41,1735,NRPS,kolossin,Photorhabdus laumondii subsp. laumondii TTO1,Marine Sponge,antiSMASH
Salinispora tropica CNB-557,BGC0001276.3,0.59,0.41,1736,PKS,6-methylsalicyclic acid,Aspergillus terreus,Marine Sponge,antiSMASH
Salinispora tropica CNB-558,BGC0001166.5,0.59,0.41,1737,NRPS,HC-toxin,Alternaria jesenskae,Marine Sponge,antiSMASH
Salinispora tropica CNB-559,BGC0001132.4,0.59,0.41,1738,NRPS,xenotetrapeptide,Xenorhabdus nematophila ATCC 19061,Marine Sponge,antiSMASH
Thalassiosira pseudonana,BGC0001261.3,0.59,0.41,1739,NRPS,AM-toxin,Alternaria alternata,Open ocean (photic zone),antiSMASH
Thalassiosira pseudonana,BGC0001135.5,0.59,0.41,1740,NRPS,"bicornutin A1, bicornutin A2",Xenorhabdus budapestensis,Open ocean (photic zone),antiSMASH
Geobacillus kaustophilus,BGC0000542.3,0.59,0.41,1741,ribosomal,paenicidin B,Paenibacillus terrae,Deep ocean thermophile,antiSMASH
Cladosporium halotolerans,BGC0000357.5,0.59,0.41,1742,NRPS,"cyclo-(D-Phe-L-Phe-D-Val-L-Val), cyclo-(D-Tyr-L-Phe-D-Val-L-Val), cyclo-(D-Tyr-L-Trp-D-Val-L-Val), cyclo-(D-Phe-L-Trp-D-Val-L-Val), cyclo-(D-Phe-L-Phe-D-Val-L-Ile), cyclo-(D-Phe-L-Phe-D-Ile-L-Val), cyclo-(D-Tyr-L-Trp-D-Val-L-Ile), cyclo-(D-Tyr-L-Trp-D-Ile-L-Val), cyclo-(D-Tyr-L-Phe-D-Val-L-Ile), cyclo-(D-Tyr-L-Phe-D-Ile-L-Val)",Penicillium rubens Wisconsin 54-1255,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001166.5,0.59,0.41,1743,NRPS,HC-toxin,Alternaria jesenskae,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001261.3,0.59,0.41,1744,NRPS,AM-toxin,Alternaria alternata,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001641.4,0.59,0.41,1745,NRPS,kolossin,Photorhabdus laumondii subsp. laumondii TTO1,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001641.4,0.59,0.41,1746,NRPS,kolossin,Photorhabdus laumondii subsp. laumondii TTO1,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001825.4,0.59,0.41,1747,NRPS,xenematide,Xenorhabdus nematophila AN6/1,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001268.4,0.59,0.41,1748,"NRPS, PKS",fusarin C,Fusarium fujikuroi,Coastal sea water,antiSMASH
Marivita sp. LZ-15-59,BGC0001254.3,0.59,0.41,1749,PKS,ACT-Toxin II,Alternaria alternata,Marine water,antiSMASH
Marivita sp. LZ-15-83,BGC0002175.3,0.59,0.41,1750,PKS,YWA1,Aspergillus oryzae RIB40,Marine water,antiSMASH
Marivita sp. LZ-15-84,BGC0000107.3,0.59,0.41,1751,PKS,naphthopyrone,Aspergillus nidulans FGSC A4,Marine water,antiSMASH
Marivita sp. LZ-15-85,BGC0001641.4,0.59,0.41,1752,NRPS,kolossin,Photorhabdus laumondii subsp. laumondii TTO1,Marine water,antiSMASH
Tropicibacter alexandrii,BGC0001276.3,0.59,0.41,1753,PKS,6-methylsalicyclic acid,Aspergillus terreus,Marine Dinoflagellate,antiSMASH
Tropicibacter alexandrii,BGC0002154.2,0.59,0.41,1754,PKS,"1,3,5,8-tetrahydroxynapthalene, 1-(alpha-l-(2-O-methyl)-6-deoxymannopyranosyloxy)-3,6,8-trimethoxynaphthalene",Pyricularia oryzae 70-15,Marine Dinoflagellate,antiSMASH
Tropicibacter alexandrii,BGC0001257.3,0.59,0.41,1755,PKS,"1,3,6,8-tetrahydroxynaphthalene",Nodulisporium sp. ATCC74245,Marine Dinoflagellate,antiSMASH
Tropicibacter alexandrii,BGC0001160.5,0.59,0.41,1756,PKS,"1-nonadecene, (14Z)-1,14-nonadecadiene",Synechococcus sp. PCC 7002,Marine Dinoflagellate,antiSMASH
Tropicibacter alexandrii,BGC0001275.3,0.59,0.41,1757,PKS,6-methylsalicyclic acid,Glarea lozoyensis,Marine Dinoflagellate,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0001833.4,0.6,0.4,1758,NRPS,"icosalide A, icosalide B",Burkholderia gladioli,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0001758.4,0.6,0.4,1759,NRPS,"rhizomide A, rhizomide B, rhizomide C",Paraburkholderia rhizoxinica HKI 454,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0000307.4,0.6,0.4,1760,NRPS,AbT1,Aureobasidium pullulans,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0001825.4,0.6,0.4,1761,NRPS,xenematide,Xenorhabdus nematophila AN6/1,Coral reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002164.2,0.6,0.4,1762,NRPS,peramine,Epichloe festucae,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002174.2,0.6,0.4,1763,NRPS,ε-Poly-L-lysine,Epichloe festucae,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0000357.5,0.6,0.4,1764,NRPS,"cyclo-(D-Phe-L-Phe-D-Val-L-Val), cyclo-(D-Tyr-L-Phe-D-Val-L-Val), cyclo-(D-Tyr-L-Trp-D-Val-L-Val), cyclo-(D-Phe-L-Trp-D-Val-L-Val), cyclo-(D-Phe-L-Phe-D-Val-L-Ile), cyclo-(D-Phe-L-Phe-D-Ile-L-Val), cyclo-(D-Tyr-L-Trp-D-Val-L-Ile), cyclo-(D-Tyr-L-Trp-D-Ile-L-Val), cyclo-(D-Tyr-L-Phe-D-Val-L-Ile), cyclo-(D-Tyr-L-Phe-D-Ile-L-Val)",Penicillium rubens Wisconsin 54-1255,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0000307.4,0.6,0.4,1765,NRPS,AbT1,Aureobasidium pullulans,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001166.5,0.6,0.4,1766,NRPS,HC-toxin,Alternaria jesenskae,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001135.5,0.6,0.4,1767,NRPS,"bicornutin A1, bicornutin A2",Xenorhabdus budapestensis,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001275.3,0.6,0.4,1768,PKS,6-methylsalicyclic acid,Glarea lozoyensis,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001276.3,0.6,0.4,1769,PKS,6-methylsalicyclic acid,Aspergillus terreus,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001268.4,0.6,0.4,1770,"NRPS, PKS",fusarin C,Fusarium fujikuroi,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002161.2,0.6,0.4,1771,PKS,"scytalone, T3HN",Pestalotiopsis fici W106-1,Coral Reef,antiSMASH
Penicillium citrinum ,BGC0001254.3,0.6,0.4,1772,PKS,ACT-Toxin II,Alternaria alternata,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002192.3,0.6,0.4,1773,PKS,FR901512,fungal sp. No.14919,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001268.4,0.6,0.4,1774,"NRPS, PKS",fusarin C,Fusarium fujikuroi,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001276.3,0.6,0.4,1775,PKS,6-methylsalicyclic acid,Aspergillus terreus,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001275.3,0.6,0.4,1776,PKS,6-methylsalicyclic acid,Glarea lozoyensis,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001244.3,0.6,0.4,1777,PKS,(-)-Mellein,Parastagonospora nodorum,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001273.3,0.6,0.4,1778,PKS,asperlactone,Aspergillus ochraceus,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0000107.3,0.6,0.4,1779,PKS,naphthopyrone,Aspergillus nidulans FGSC A4,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001135.5,0.6,0.4,1780,NRPS,"bicornutin A1, bicornutin A2",Xenorhabdus budapestensis,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001276.3,0.6,0.4,1781,PKS,6-methylsalicyclic acid,Aspergillus terreus,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001275.3,0.6,0.4,1782,PKS,6-methylsalicyclic acid,Glarea lozoyensis,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001164.3,0.6,0.4,1783,PKS,1-heptadecene,Cyanothece sp. PCC 7822,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0000107.3,0.6,0.4,1784,PKS,naphthopyrone,Aspergillus nidulans FGSC A4,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002175.3,0.6,0.4,1785,PKS,YWA1,Aspergillus oryzae RIB40,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001160.5,0.6,0.4,1786,PKS,"1-nonadecene, (14Z)-1,14-nonadecadiene",Synechococcus sp. PCC 7002,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002154.2,0.6,0.4,1787,PKS,"1,3,5,8-tetrahydroxynapthalene, 1-(alpha-l-(2-O-methyl)-6-deoxymannopyranosyloxy)-3,6,8-trimethoxynaphthalene",Pyricularia oryzae 70-15,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001833.4,0.6,0.4,1788,NRPS,"icosalide A, icosalide B",Burkholderia gladioli,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001758.4,0.6,0.4,1789,NRPS,"rhizomide A, rhizomide B, rhizomide C",Paraburkholderia rhizoxinica HKI 454,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001128.4,0.6,0.4,1790,NRPS,gamexpeptide C,Photorhabdus laumondii subsp. laumondii TTO1,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001641.4,0.6,0.4,1791,NRPS,kolossin,Photorhabdus laumondii subsp. laumondii TTO1,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002286.3,0.6,0.4,1792,NRPS,"ririwpeptide A, ririwpeptide B, ririwpeptide C",Photorhabdus laumondii subsp. laumondii TTO1,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001244.3,0.6,0.4,1793,PKS,(-)-Mellein,Parastagonospora nodorum,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001276.3,0.6,0.4,1794,PKS,6-methylsalicyclic acid,Aspergillus terreus,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0000307.4,0.6,0.4,1795,NRPS,AbT1,Aureobasidium pullulans,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001166.5,0.6,0.4,1796,NRPS,HC-toxin,Alternaria jesenskae,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002135.2,0.6,0.4,1797,NRPS,bovienimide A,Xenorhabdus bovienii SS-2004,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001268.4,0.6,0.4,1798,"NRPS, PKS",fusarin C,Fusarium fujikuroi,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001276.3,0.6,0.4,1799,PKS,6-methylsalicyclic acid,Aspergillus terreus,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001273.3,0.6,0.4,1800,PKS,asperlactone,Aspergillus ochraceus,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001244.3,0.6,0.4,1801,PKS,(-)-Mellein,Parastagonospora nodorum,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001273.3,0.6,0.4,1802,PKS,asperlactone,Aspergillus ochraceus,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001268.4,0.6,0.4,1803,"NRPS, PKS",fusarin C,Fusarium fujikuroi,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001164.3,0.6,0.4,1804,PKS,1-heptadecene,Cyanothece sp. PCC 7822,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0000307.4,0.6,0.4,1805,NRPS,AbT1,Aureobasidium pullulans,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001135.5,0.6,0.4,1806,NRPS,"bicornutin A1, bicornutin A2",Xenorhabdus budapestensis,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001268.4,0.6,0.4,1807,"NRPS, PKS",fusarin C,Fusarium fujikuroi,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001275.3,0.6,0.4,1808,PKS,6-methylsalicyclic acid,Glarea lozoyensis,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001276.3,0.6,0.4,1809,PKS,6-methylsalicyclic acid,Aspergillus terreus,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001244.3,0.6,0.4,1810,PKS,(-)-Mellein,Parastagonospora nodorum,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001273.3,0.6,0.4,1811,PKS,asperlactone,Aspergillus ochraceus,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0000107.3,0.6,0.4,1812,PKS,naphthopyrone,Aspergillus nidulans FGSC A4,Mangrove sediment,antiSMASH
Salinispora tropica CNB-531,BGC0000271.5,0.6,0.4,1813,PKS,spore pigment,Streptomyces avermitilis,Marine Sponge,antiSMASH
Salinispora tropica CNB-555,BGC0001050.5,0.6,0.4,1814,"NRPS, PKS",thalassospiramide A,Tistrella bauzanensis,Marine Sponge,antiSMASH
Thalassiosira pseudonana,BGC0002164.2,0.6,0.4,1815,NRPS,peramine,Epichloe festucae,Open ocean (photic zone),antiSMASH
Cladosporium halotolerans,BGC0001135.5,0.6,0.4,1816,NRPS,"bicornutin A1, bicornutin A2",Xenorhabdus budapestensis,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001160.5,0.6,0.4,1817,PKS,"1-nonadecene, (14Z)-1,14-nonadecadiene",Synechococcus sp. PCC 7002,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001164.3,0.6,0.4,1818,PKS,1-heptadecene,Cyanothece sp. PCC 7822,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0002154.2,0.6,0.4,1819,PKS,"1,3,5,8-tetrahydroxynapthalene, 1-(alpha-l-(2-O-methyl)-6-deoxymannopyranosyloxy)-3,6,8-trimethoxynaphthalene",Pyricularia oryzae 70-15,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001160.5,0.6,0.4,1820,PKS,"1-nonadecene, (14Z)-1,14-nonadecadiene",Synechococcus sp. PCC 7002,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001825.4,0.6,0.4,1821,NRPS,xenematide,Xenorhabdus nematophila AN6/1,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0002191.2,0.6,0.4,1822,PKS,"prolipyrone B, gibepyrone D",Fusarium graminearum PH-1,Coastal sea water,antiSMASH
Marivita sp. LZ-15-53,BGC0001276.3,0.6,0.4,1823,PKS,6-methylsalicyclic acid,Aspergillus terreus,Marine water,antiSMASH
Marivita sp. LZ-15-54,BGC0001164.3,0.6,0.4,1824,PKS,1-heptadecene,Cyanothece sp. PCC 7822,Marine water,antiSMASH
Marivita sp. LZ-15-55,BGC0001275.3,0.6,0.4,1825,PKS,6-methylsalicyclic acid,Glarea lozoyensis,Marine water,antiSMASH
Marivita sp. LZ-15-56,BGC0001244.3,0.6,0.4,1826,PKS,(-)-Mellein,Parastagonospora nodorum,Marine water,antiSMASH
Marivita sp. LZ-15-57,BGC0001273.3,0.6,0.4,1827,PKS,asperlactone,Aspergillus ochraceus,Marine water,antiSMASH
Marivita sp. LZ-15-58,BGC0002191.2,0.6,0.4,1828,PKS,"prolipyrone B, gibepyrone D",Fusarium graminearum PH-1,Marine water,antiSMASH
Tropicibacter alexandrii,BGC0001273.3,0.6,0.4,1829,PKS,asperlactone,Aspergillus ochraceus,Marine Dinoflagellate,antiSMASH
Tropicibacter alexandrii,BGC0002191.2,0.6,0.4,1830,PKS,"prolipyrone B, gibepyrone D",Fusarium graminearum PH-1,Marine Dinoflagellate,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0002135.2,0.61,0.39,1831,NRPS,bovienimide A,Xenorhabdus bovienii SS-2004,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0001135.5,0.61,0.39,1832,NRPS,"bicornutin A1, bicornutin A2",Xenorhabdus budapestensis,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0002286.3,0.61,0.39,1833,NRPS,"ririwpeptide A, ririwpeptide B, ririwpeptide C",Photorhabdus laumondii subsp. laumondii TTO1,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0001641.4,0.61,0.39,1834,NRPS,kolossin,Photorhabdus laumondii subsp. laumondii TTO1,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0001758.4,0.61,0.39,1835,NRPS,"rhizomide A, rhizomide B, rhizomide C",Paraburkholderia rhizoxinica HKI 454,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0001128.4,0.61,0.39,1836,NRPS,gamexpeptide C,Photorhabdus laumondii subsp. laumondii TTO1,Coral reef,antiSMASH
Shewanella piezotolerans WP6,BGC0000947.5,0.61,0.39,1837,other (other),vibrioferrin,Vibrio alginolyticus,Deep sea ,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001250.4,0.61,0.39,1838,NRPS,epichloenin A,Epichloe festucae,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002286.3,0.61,0.39,1839,NRPS,"ririwpeptide A, ririwpeptide B, ririwpeptide C",Photorhabdus laumondii subsp. laumondii TTO1,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001160.5,0.61,0.39,1840,PKS,"1-nonadecene, (14Z)-1,14-nonadecadiene",Synechococcus sp. PCC 7002,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001164.3,0.61,0.39,1841,PKS,1-heptadecene,Cyanothece sp. PCC 7822,Coral Reef,antiSMASH
Penicillium citrinum ,BGC0001284.4,0.61,0.39,1842,PKS,alternariol,Parastagonospora nodorum SN15,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002192.3,0.61,0.39,1843,PKS,FR901512,fungal sp. No.14919,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001254.3,0.61,0.39,1844,PKS,ACT-Toxin II,Alternaria alternata,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001254.3,0.61,0.39,1845,PKS,ACT-Toxin II,Alternaria alternata,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002276.2,0.61,0.39,1846,NRPS,choline,Aspergillus nidulans FGSC A4,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001254.3,0.61,0.39,1847,PKS,ACT-Toxin II,Alternaria alternata,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002192.3,0.61,0.39,1848,PKS,FR901512,fungal sp. No.14919,Mangrove sediment,antiSMASH
Salinispora tropica CNB-498,BGC0001284.4,0.61,0.39,1849,PKS,alternariol,Parastagonospora nodorum SN15,Marine Sponge,antiSMASH
Salinispora tropica CNB-552,BGC0002286.3,0.61,0.39,1850,NRPS,"ririwpeptide A, ririwpeptide B, ririwpeptide C",Photorhabdus laumondii subsp. laumondii TTO1,Marine Sponge,antiSMASH
Salinispora tropica CNB-553,BGC0001164.3,0.61,0.39,1851,PKS,1-heptadecene,Cyanothece sp. PCC 7822,Marine Sponge,antiSMASH
Salinispora tropica CNB-554,BGC0001833.4,0.61,0.39,1852,NRPS,"icosalide A, icosalide B",Burkholderia gladioli,Marine Sponge,antiSMASH
Cladosporium halotolerans,BGC0001254.3,0.61,0.39,1853,PKS,ACT-Toxin II,Alternaria alternata,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001833.4,0.61,0.39,1854,NRPS,"icosalide A, icosalide B",Burkholderia gladioli,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001758.4,0.61,0.39,1855,NRPS,"rhizomide A, rhizomide B, rhizomide C",Paraburkholderia rhizoxinica HKI 454,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001641.4,0.61,0.39,1856,NRPS,kolossin,Photorhabdus laumondii subsp. laumondii TTO1,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001268.4,0.61,0.39,1857,"NRPS, PKS",fusarin C,Fusarium fujikuroi,Coastal sea water,antiSMASH
Marivita sp. LZ-15-52,BGC0001160.5,0.61,0.39,1858,PKS,"1-nonadecene, (14Z)-1,14-nonadecadiene",Synechococcus sp. PCC 7002,Marine water,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0000357.5,0.62,0.38,1859,NRPS,"cyclo-(D-Phe-L-Phe-D-Val-L-Val), cyclo-(D-Tyr-L-Phe-D-Val-L-Val), cyclo-(D-Tyr-L-Trp-D-Val-L-Val), cyclo-(D-Phe-L-Trp-D-Val-L-Val), cyclo-(D-Phe-L-Phe-D-Val-L-Ile), cyclo-(D-Phe-L-Phe-D-Ile-L-Val), cyclo-(D-Tyr-L-Trp-D-Val-L-Ile), cyclo-(D-Tyr-L-Trp-D-Ile-L-Val), cyclo-(D-Tyr-L-Phe-D-Val-L-Ile), cyclo-(D-Tyr-L-Phe-D-Ile-L-Val)",Penicillium rubens Wisconsin 54-1255,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0001825.4,0.62,0.38,1860,NRPS,xenematide,Xenorhabdus nematophila AN6/1,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0001758.4,0.62,0.38,1861,NRPS,"rhizomide A, rhizomide B, rhizomide C",Paraburkholderia rhizoxinica HKI 454,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0001641.4,0.62,0.38,1862,NRPS,kolossin,Photorhabdus laumondii subsp. laumondii TTO1,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0001132.4,0.62,0.38,1863,NRPS,xenotetrapeptide,Xenorhabdus nematophila ATCC 19061,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0001833.4,0.62,0.38,1864,NRPS,"icosalide A, icosalide B",Burkholderia gladioli,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0001128.4,0.62,0.38,1865,NRPS,gamexpeptide C,Photorhabdus laumondii subsp. laumondii TTO1,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0001825.4,0.62,0.38,1866,NRPS,xenematide,Xenorhabdus nematophila AN6/1,Coral reef,antiSMASH
Marinobacter nauticus,BGC0000942.4,0.62,0.38,1867,other (other),petrobactin,Bacillus anthracis str. Ames,Seawater layers,antiSMASH
Shewanella piezotolerans WP21,BGC0000836.5,0.62,0.38,1868,other (other),APE Ec,Escherichia coli CFT073,Deep sea ,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001160.5,0.62,0.38,1869,PKS,"1-nonadecene, (14Z)-1,14-nonadecadiene",Synechococcus sp. PCC 7002,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001254.3,0.62,0.38,1870,PKS,ACT-Toxin II,Alternaria alternata,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001268.4,0.62,0.38,1871,"NRPS, PKS",fusarin C,Fusarium fujikuroi,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002192.3,0.62,0.38,1872,PKS,FR901512,fungal sp. No.14919,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0000107.3,0.62,0.38,1873,PKS,naphthopyrone,Aspergillus nidulans FGSC A4,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001268.4,0.62,0.38,1874,"NRPS, PKS",fusarin C,Fusarium fujikuroi,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002135.2,0.62,0.38,1875,NRPS,bovienimide A,Xenorhabdus bovienii SS-2004,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002164.2,0.62,0.38,1876,NRPS,peramine,Epichloe festucae,Coral Reef,antiSMASH
Rubritalea marina DSM 17738,BGC0002274.2,0.62,0.38,1877,NRPS,"aspulvinone H, aspulvinone B1",Aspergillus terreus NIH2624,Coral reef,antiSMASH
